age,SEX,cps19_votechoice,voteliberal,votecon
61,Male,Bloc Québécois,0,0
62,Female,Conservative Party,0,1
34,Female,ndp,0,0
24,Male,Liberal Party,1,0
31,Male,Green Party,0,0
34,Male,Liberal Party,1,0
48,Male,Liberal Party,1,0
64,Male,ndp,0,0
32,Male,Liberal Party,1,0
64,Male,Conservative Party,0,1
76,Male,Liberal Party,1,0
75,Female,Liberal Party,1,0
68,Female,Liberal Party,1,0
47,Female,Liberal Party,1,0
31,Female,Liberal Party,1,0
69,Male,Liberal Party,1,0
28,Female,ndp,0,0
39,Male,Green Party,0,0
61,Male,Conservative Party,0,1
45,Female,Conservative Party,0,1
81,Male,Liberal Party,1,0
68,Female,Conservative Party,0,1
59,Female,Liberal Party,1,0
69,Male,Conservative Party,0,1
64,Male,Conservative Party,0,1
54,Female,ndp,0,0
34,Male,ndp,0,0
70,Female,Liberal Party,1,0
35,Male,Conservative Party,0,1
71,Male,Liberal Party,1,0
39,Male,Liberal Party,1,0
48,Female,Conservative Party,0,1
39,Female,Liberal Party,1,0
39,Female,Liberal Party,1,0
51,Male,Conservative Party,0,1
64,Female,Liberal Party,1,0
56,Female,Conservative Party,0,1
63,Male,Bloc Québécois,0,0
72,Male,Liberal Party,1,0
82,Female,Liberal Party,1,0
49,Female,Liberal Party,1,0
35,Male,ndp,0,0
50,Female,Liberal Party,1,0
66,Male,Liberal Party,1,0
43,Male,ndp,0,0
32,Female,Green Party,0,0
69,Male,Conservative Party,0,1
67,Female,ndp,0,0
56,Female,Liberal Party,1,0
61,Male,Liberal Party,1,0
30,Female,ndp,0,0
47,Male,Liberal Party,1,0
44,Female,Liberal Party,1,0
45,Male,Conservative Party,0,1
40,Male,Liberal Party,1,0
46,Male,Liberal Party,1,0
41,Male,ndp,0,0
57,Male,Conservative Party,0,1
33,Male,Liberal Party,1,0
67,Female,Conservative Party,0,1
55,Female,Liberal Party,1,0
75,Male,Liberal Party,1,0
55,Female,Liberal Party,1,0
19,Female,Liberal Party,1,0
67,Female,Conservative Party,0,1
68,Female,Liberal Party,1,0
68,Male,Conservative Party,0,1
40,Male,ndp,0,0
35,Female,Liberal Party,1,0
61,Male,Liberal Party,1,0
57,Female,Liberal Party,1,0
45,Male,Liberal Party,1,0
19,Female,Liberal Party,1,0
45,Male,Bloc Québécois,0,0
70,Female,Green Party,0,0
55,Female,Green Party,0,0
65,Male,Liberal Party,1,0
62,Female,Liberal Party,1,0
70,Female,ndp,0,0
36,Male,Conservative Party,0,1
56,Female,Conservative Party,0,1
72,Female,Conservative Party,0,1
59,Female,Bloc Québécois,0,0
52,Female,ndp,0,0
62,Female,Liberal Party,1,0
58,Male,Liberal Party,1,0
34,Male,Bloc Québécois,0,0
27,Female,Conservative Party,0,1
56,Male,Liberal Party,1,0
55,Male,Bloc Québécois,0,0
72,Male,ndp,0,0
54,Female,People's Party,0,0
30,Female,Liberal Party,1,0
76,Male,Green Party,0,0
78,Male,Liberal Party,1,0
26,Male,Conservative Party,0,1
54,Female,Liberal Party,1,0
63,Male,Conservative Party,0,1
76,Female,Liberal Party,1,0
62,Male,Liberal Party,1,0
42,Male,Conservative Party,0,1
84,Male,Green Party,0,0
44,Female,Bloc Québécois,0,0
65,Male,Liberal Party,1,0
64,Female,Conservative Party,0,1
40,Male,ndp,0,0
53,Female,Green Party,0,0
50,Male,Conservative Party,0,1
53,Male,Conservative Party,0,1
49,Female,Liberal Party,1,0
69,Male,Bloc Québécois,0,0
56,Male,Conservative Party,0,1
71,Female,Liberal Party,1,0
63,Female,Liberal Party,1,0
53,Male,Conservative Party,0,1
54,Female,Liberal Party,1,0
56,Female,Bloc Québécois,0,0
70,Female,Conservative Party,0,1
49,Female,Liberal Party,1,0
67,Male,Conservative Party,0,1
53,Female,Conservative Party,0,1
40,Female,Liberal Party,1,0
63,Male,Conservative Party,0,1
38,Male,Conservative Party,0,1
31,Male,Bloc Québécois,0,0
37,Male,ndp,0,0
46,Female,ndp,0,0
47,Male,Conservative Party,0,1
81,Male,Conservative Party,0,1
57,Male,Liberal Party,1,0
46,Female,Green Party,0,0
67,Female,Green Party,0,0
66,Male,People's Party,0,0
67,Male,Conservative Party,0,1
67,Male,Conservative Party,0,1
61,Male,Bloc Québécois,0,0
38,Female,Liberal Party,1,0
65,Male,Conservative Party,0,1
70,Male,Conservative Party,0,1
76,Male,Conservative Party,0,1
56,Male,Bloc Québécois,0,0
81,Male,Liberal Party,1,0
70,Male,Green Party,0,0
65,Male,Liberal Party,1,0
62,Female,Liberal Party,1,0
45,Male,Green Party,0,0
40,Male,Liberal Party,1,0
49,Male,ndp,0,0
55,Female,Conservative Party,0,1
65,Male,Bloc Québécois,0,0
42,Male,Liberal Party,1,0
25,Female,ndp,0,0
40,Female,Liberal Party,1,0
59,Male,Liberal Party,1,0
47,Male,People's Party,0,0
67,Female,ndp,0,0
70,Male,Conservative Party,0,1
73,Male,Liberal Party,1,0
46,Female,Green Party,0,0
34,Female,Liberal Party,1,0
54,Female,Conservative Party,0,1
71,Male,People's Party,0,0
65,Male,Liberal Party,1,0
46,Male,Conservative Party,0,1
45,Male,Liberal Party,1,0
48,Male,Conservative Party,0,1
34,Female,Liberal Party,1,0
73,Female,Liberal Party,1,0
55,Female,Liberal Party,1,0
50,Male,Conservative Party,0,1
54,Female,Liberal Party,1,0
65,Female,Liberal Party,1,0
41,Female,ndp,0,0
51,Female,Liberal Party,1,0
58,Female,Liberal Party,1,0
75,Male,Conservative Party,0,1
71,Male,Liberal Party,1,0
62,Male,Liberal Party,1,0
76,Male,Conservative Party,0,1
71,Male,Conservative Party,0,1
88,Male,Liberal Party,1,0
51,Female,Liberal Party,1,0
67,Male,Conservative Party,0,1
75,Female,Conservative Party,0,1
50,Male,Liberal Party,1,0
42,Male,Conservative Party,0,1
73,Male,Liberal Party,1,0
53,Female,Conservative Party,0,1
70,Male,Liberal Party,1,0
31,Male,Liberal Party,1,0
38,Female,Bloc Québécois,0,0
46,Female,Liberal Party,1,0
72,Male,Liberal Party,1,0
53,Male,Green Party,0,0
72,Male,Liberal Party,1,0
48,Male,Conservative Party,0,1
55,Female,Another party (please specify),0,0
66,Female,Liberal Party,1,0
73,Female,Conservative Party,0,1
36,Female,Conservative Party,0,1
72,Male,Conservative Party,0,1
61,Female,Liberal Party,1,0
57,Female,Liberal Party,1,0
70,Male,Conservative Party,0,1
63,Female,Conservative Party,0,1
59,Male,Conservative Party,0,1
45,Female,Conservative Party,0,1
78,Female,Conservative Party,0,1
40,Male,Conservative Party,0,1
57,Female,Conservative Party,0,1
44,Female,Liberal Party,1,0
30,Female,Green Party,0,0
73,Female,Green Party,0,0
66,Female,Liberal Party,1,0
63,Female,Green Party,0,0
60,Female,ndp,0,0
68,Male,Liberal Party,1,0
35,Female,Liberal Party,1,0
70,Male,Conservative Party,0,1
35,Male,Green Party,0,0
40,Female,Conservative Party,0,1
65,Female,Liberal Party,1,0
42,Female,Green Party,0,0
75,Male,Liberal Party,1,0
63,Female,Liberal Party,1,0
69,Female,ndp,0,0
36,Female,Liberal Party,1,0
54,Female,Liberal Party,1,0
32,Male,Liberal Party,1,0
33,Female,ndp,0,0
62,Male,Conservative Party,0,1
51,Female,Bloc Québécois,0,0
66,Male,Liberal Party,1,0
30,Female,Conservative Party,0,1
42,Female,Liberal Party,1,0
59,Female,ndp,0,0
38,Female,Conservative Party,0,1
31,Male,Liberal Party,1,0
52,Male,Green Party,0,0
36,Female,ndp,0,0
33,Female,Liberal Party,1,0
76,Male,Liberal Party,1,0
36,Male,Conservative Party,0,1
57,Male,Liberal Party,1,0
56,Female,ndp,0,0
72,Female,Liberal Party,1,0
63,Female,Liberal Party,1,0
42,Male,Conservative Party,0,1
72,Female,Liberal Party,1,0
50,Male,Conservative Party,0,1
76,Male,Conservative Party,0,1
35,Male,Liberal Party,1,0
64,Female,Conservative Party,0,1
55,Female,Liberal Party,1,0
33,Female,ndp,0,0
57,Male,Liberal Party,1,0
55,Male,Conservative Party,0,1
81,Female,ndp,0,0
44,Female,Liberal Party,1,0
52,Male,ndp,0,0
49,Female,Liberal Party,1,0
61,Male,Conservative Party,0,1
72,Female,Liberal Party,1,0
34,Female,Conservative Party,0,1
54,Female,Conservative Party,0,1
99,Female,ndp,0,0
35,Female,Bloc Québécois,0,0
45,Female,Green Party,0,0
59,Female,ndp,0,0
46,Female,Bloc Québécois,0,0
52,Male,ndp,0,0
45,Male,Green Party,0,0
61,Male,Green Party,0,0
47,Female,People's Party,0,0
41,Female,Liberal Party,1,0
41,Female,ndp,0,0
52,Female,Conservative Party,0,1
39,Male,Conservative Party,0,1
75,Male,Conservative Party,0,1
65,Female,Another party (please specify),0,0
45,Male,People's Party,0,0
60,Female,Liberal Party,1,0
73,Male,ndp,0,0
46,Female,Green Party,0,0
59,Female,Conservative Party,0,1
49,Female,ndp,0,0
41,Male,People's Party,0,0
55,Female,Conservative Party,0,1
37,Female,Liberal Party,1,0
30,Male,Bloc Québécois,0,0
52,Female,ndp,0,0
57,Female,Liberal Party,1,0
56,Female,Conservative Party,0,1
34,Female,ndp,0,0
66,Male,Conservative Party,0,1
74,Female,Liberal Party,1,0
65,Female,Liberal Party,1,0
52,Male,People's Party,0,0
40,Male,ndp,0,0
67,Male,Conservative Party,0,1
50,Female,Conservative Party,0,1
55,Female,Conservative Party,0,1
31,Male,Bloc Québécois,0,0
73,Male,Bloc Québécois,0,0
45,Male,Liberal Party,1,0
68,Male,Conservative Party,0,1
65,Female,Conservative Party,0,1
83,Male,Conservative Party,0,1
36,Female,Conservative Party,0,1
76,Female,Liberal Party,1,0
40,Female,ndp,0,0
46,Male,Green Party,0,0
22,Male,Green Party,0,0
53,Female,Conservative Party,0,1
70,Female,Bloc Québécois,0,0
53,Female,Conservative Party,0,1
71,Male,Conservative Party,0,1
55,Male,People's Party,0,0
23,Female,Green Party,0,0
53,Male,Liberal Party,1,0
72,Male,Liberal Party,1,0
48,Male,Liberal Party,1,0
70,Male,Liberal Party,1,0
53,Male,Green Party,0,0
67,Male,Liberal Party,1,0
65,Female,Liberal Party,1,0
62,Female,Liberal Party,1,0
70,Male,Liberal Party,1,0
74,Male,Liberal Party,1,0
72,Male,Liberal Party,1,0
46,Female,Liberal Party,1,0
40,Female,Liberal Party,1,0
60,Female,Liberal Party,1,0
37,Female,ndp,0,0
64,Male,Liberal Party,1,0
67,Female,Bloc Québécois,0,0
51,Male,Conservative Party,0,1
41,Male,Liberal Party,1,0
51,Female,Liberal Party,1,0
61,Male,Liberal Party,1,0
75,Female,Conservative Party,0,1
47,Female,Liberal Party,1,0
49,Female,Liberal Party,1,0
74,Female,Liberal Party,1,0
46,Male,Bloc Québécois,0,0
52,Female,Conservative Party,0,1
76,Female,Liberal Party,1,0
64,Female,Liberal Party,1,0
29,Male,Conservative Party,0,1
64,Male,Liberal Party,1,0
62,Male,Conservative Party,0,1
59,Male,Liberal Party,1,0
66,Male,Liberal Party,1,0
50,Male,Liberal Party,1,0
29,Female,Liberal Party,1,0
64,Male,Conservative Party,0,1
32,Female,Green Party,0,0
57,Male,Conservative Party,0,1
32,Male,Conservative Party,0,1
73,Male,Liberal Party,1,0
41,Male,ndp,0,0
64,Male,Liberal Party,1,0
54,Male,Conservative Party,0,1
39,Female,Liberal Party,1,0
44,Female,Liberal Party,1,0
67,Female,Conservative Party,0,1
74,Male,Bloc Québécois,0,0
59,Female,Liberal Party,1,0
47,Male,Liberal Party,1,0
36,Male,People's Party,0,0
64,Female,Conservative Party,0,1
64,Male,Liberal Party,1,0
60,Female,Liberal Party,1,0
65,Male,Conservative Party,0,1
57,Female,Liberal Party,1,0
46,Female,Liberal Party,1,0
61,Male,Conservative Party,0,1
40,Male,People's Party,0,0
59,Female,Bloc Québécois,0,0
51,Female,Conservative Party,0,1
49,Male,Green Party,0,0
32,Male,Conservative Party,0,1
59,Female,Liberal Party,1,0
75,Male,Liberal Party,1,0
66,Male,Conservative Party,0,1
66,Female,Liberal Party,1,0
42,Female,Conservative Party,0,1
70,Male,Liberal Party,1,0
43,Female,Green Party,0,0
74,Male,Liberal Party,1,0
71,Male,Conservative Party,0,1
43,Male,Conservative Party,0,1
64,Male,Bloc Québécois,0,0
60,Female,Green Party,0,0
70,Male,Conservative Party,0,1
45,Female,Conservative Party,0,1
46,Female,Conservative Party,0,1
45,Male,People's Party,0,0
68,Male,Bloc Québécois,0,0
44,Female,Bloc Québécois,0,0
40,Female,Bloc Québécois,0,0
34,Male,Liberal Party,1,0
44,Male,Liberal Party,1,0
46,Female,ndp,0,0
41,Male,Bloc Québécois,0,0
64,Female,Liberal Party,1,0
33,Female,ndp,0,0
59,Female,Conservative Party,0,1
41,Female,Conservative Party,0,1
35,Male,Conservative Party,0,1
72,Female,Another party (please specify),0,0
63,Male,People's Party,0,0
19,Male,Liberal Party,1,0
42,Female,Conservative Party,0,1
62,Male,Liberal Party,1,0
35,Female,ndp,0,0
42,Female,Conservative Party,0,1
53,Female,Liberal Party,1,0
27,Female,Liberal Party,1,0
40,Male,Liberal Party,1,0
55,Male,Bloc Québécois,0,0
34,Female,Green Party,0,0
60,Female,Liberal Party,1,0
47,Female,Liberal Party,1,0
36,Female,Liberal Party,1,0
54,Female,ndp,0,0
40,Female,Liberal Party,1,0
59,Female,Liberal Party,1,0
73,Female,Green Party,0,0
41,Female,Liberal Party,1,0
41,Male,Liberal Party,1,0
66,Female,Liberal Party,1,0
58,Female,Conservative Party,0,1
82,Female,Liberal Party,1,0
67,Male,Liberal Party,1,0
60,Male,Liberal Party,1,0
32,Male,Conservative Party,0,1
20,Female,Liberal Party,1,0
70,Female,Liberal Party,1,0
47,Male,Green Party,0,0
28,Female,ndp,0,0
50,Female,Liberal Party,1,0
63,Female,Liberal Party,1,0
49,Female,ndp,0,0
73,Female,Liberal Party,1,0
29,Female,Liberal Party,1,0
52,Female,ndp,0,0
60,Female,ndp,0,0
48,Female,Liberal Party,1,0
31,Male,Green Party,0,0
48,Male,People's Party,0,0
34,Male,Conservative Party,0,1
63,Female,Bloc Québécois,0,0
66,Male,Conservative Party,0,1
53,Male,Another party (please specify),0,0
37,Female,Liberal Party,1,0
66,Male,Liberal Party,1,0
51,Female,Liberal Party,1,0
60,Female,Liberal Party,1,0
40,Male,Green Party,0,0
29,Female,ndp,0,0
76,Female,Liberal Party,1,0
50,Female,ndp,0,0
52,Female,Liberal Party,1,0
69,Female,Conservative Party,0,1
28,Female,Liberal Party,1,0
61,Female,Liberal Party,1,0
51,Male,Conservative Party,0,1
68,Male,Liberal Party,1,0
30,Female,Green Party,0,0
67,Female,Conservative Party,0,1
68,Male,Liberal Party,1,0
27,Female,Conservative Party,0,1
57,Male,Liberal Party,1,0
63,Female,Liberal Party,1,0
57,Female,Liberal Party,1,0
66,Female,Conservative Party,0,1
27,Male,Conservative Party,0,1
73,Male,Conservative Party,0,1
62,Male,Green Party,0,0
57,Male,Liberal Party,1,0
44,Female,Conservative Party,0,1
52,Male,Conservative Party,0,1
41,Male,Conservative Party,0,1
67,Male,ndp,0,0
53,Male,Liberal Party,1,0
62,Male,Conservative Party,0,1
36,Female,Liberal Party,1,0
77,Male,Bloc Québécois,0,0
71,Female,Bloc Québécois,0,0
57,Female,Conservative Party,0,1
60,Male,Conservative Party,0,1
63,Male,Liberal Party,1,0
87,Male,Conservative Party,0,1
44,Female,Liberal Party,1,0
41,Female,Liberal Party,1,0
46,Male,Liberal Party,1,0
50,Female,Liberal Party,1,0
74,Male,Conservative Party,0,1
48,Male,People's Party,0,0
48,Female,Liberal Party,1,0
57,Female,Liberal Party,1,0
21,Female,ndp,0,0
48,Female,Liberal Party,1,0
35,Female,Conservative Party,0,1
59,Female,ndp,0,0
64,Female,Liberal Party,1,0
73,Female,Conservative Party,0,1
62,Male,Green Party,0,0
59,Female,Liberal Party,1,0
44,Female,Conservative Party,0,1
66,Male,Liberal Party,1,0
62,Female,Liberal Party,1,0
48,Male,Conservative Party,0,1
29,Male,Liberal Party,1,0
25,Female,Conservative Party,0,1
51,Female,Liberal Party,1,0
34,Female,Conservative Party,0,1
72,Male,Conservative Party,0,1
71,Male,Liberal Party,1,0
59,Female,Conservative Party,0,1
29,Female,ndp,0,0
65,Female,Conservative Party,0,1
44,Female,Bloc Québécois,0,0
68,Male,Liberal Party,1,0
42,Male,ndp,0,0
39,Female,Conservative Party,0,1
45,Female,Conservative Party,0,1
62,Male,Conservative Party,0,1
38,Male,ndp,0,0
31,Female,Green Party,0,0
57,Female,ndp,0,0
39,Male,ndp,0,0
35,Male,Conservative Party,0,1
27,Female,People's Party,0,0
46,Male,Liberal Party,1,0
53,Male,Liberal Party,1,0
65,Female,Green Party,0,0
77,Male,Conservative Party,0,1
27,Female,Liberal Party,1,0
29,Female,ndp,0,0
32,Male,Another party (please specify),0,0
24,Male,Conservative Party,0,1
72,Male,Conservative Party,0,1
71,Female,Liberal Party,1,0
40,Male,Conservative Party,0,1
55,Female,Liberal Party,1,0
49,Female,Green Party,0,0
26,Male,People's Party,0,0
65,Male,Green Party,0,0
57,Female,ndp,0,0
56,Male,Liberal Party,1,0
63,Female,Liberal Party,1,0
74,Female,ndp,0,0
41,Male,Liberal Party,1,0
67,Male,Green Party,0,0
63,Male,Liberal Party,1,0
63,Male,Liberal Party,1,0
81,Male,Liberal Party,1,0
61,Female,Conservative Party,0,1
29,Female,ndp,0,0
60,Female,Conservative Party,0,1
69,Male,Conservative Party,0,1
63,Male,Conservative Party,0,1
71,Male,Liberal Party,1,0
65,Male,ndp,0,0
27,Male,Liberal Party,1,0
65,Female,Green Party,0,0
33,Female,Liberal Party,1,0
41,Female,Liberal Party,1,0
72,Male,Conservative Party,0,1
